MinE_Orb; E_min; Last_Orb; E_last; Last_MO
0; -19.334780; 1; -19.350340;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
1; -19.334710; 0; -19.350440;  9H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
3; -14.725950; 2; -14.743780;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
2; -14.749590; 3; -14.472770;  14N 13N
4; -14.716530; 4; -14.471340;  14N 13N
5; -10.497180; 5; -10.550390;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
6; -10.448160; 8; -10.464080;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
7; -10.434170; 6; -10.470660;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
8; -10.434140; 7; -10.470510;  9H 8H 10N 11O 7H 0C 1C 2C 3C 12O 4C 5C
10; -10.409680; 9; -10.458140;  9H 8H 10N 6H 11O 12O 0C 1C 2C 3C 4C 5C
9; -10.409690; 10; -10.458080;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
11; -1.400960; 13; -1.153970;  14N 13N
12; -1.383800; 11; -1.400260;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
13; -1.214590; 12; -1.231420;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
14; -1.133490; 14; -1.151980;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
15; -1.058140; 16; -1.025860;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
16; -0.983860; 15; -1.034450;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
17; -0.955110; 17; -0.893510;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
18; -0.850130; 18; -0.875460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
19; -0.840780; 19; -0.820460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
21; -0.751730; 23; -0.707220;  9H 8H 10N 6H 11O 12O 0C 1C 2C 3C 4C 5C
20; -0.781630; 20; -0.744370;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
22; -0.746900; 21; -0.739230;  9H 8H 10N 6H 11O 12O 0C 1C 2C 3C 4C 5C
23; -0.721750; 22; -0.707250;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
25; -0.689660; 27; -0.641310;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
24; -0.709160; 25; -0.675310;  9H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
26; -0.680570; 24; -0.693720;  9H 8H 10N 11O 7H 0C 1C 2C 3C 12O 4C 5C
28; -0.653510; 26; -0.665060;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
27; -0.664820; 29; -0.582520;  14N 13N
30; -0.623480; 37; -0.456300;  14N 13N
29; -0.647980; 33; -0.492430;  14N 13N
31; -0.593880; 37; -0.456300;  14N 13N
32; -0.573380; 28; -0.613190;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
34; -0.480670; 31; -0.511640;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
33; -0.492920; 30; -0.513280;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
35; -0.459530; 36; -0.463280;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
36; -0.459380; 35; -0.475180;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
37; -0.447170; 34; -0.475590;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
38; -0.319980; 39; -0.273550;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
39; -0.299050; 45; -0.053830;  14N 13N
41; -0.224260; 40; -0.265200;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
40; -0.233970; 41; -0.200590;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
42; -0.169070; 46; -0.053810;  14N 13N
43; -0.115300; 38; -0.372670;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
46; -0.046020; 44; -0.069600;  8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
45; -0.048700; 42; -0.113390;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
47; -0.017130; 47; -0.048170;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
44; -0.050760; 43; -0.083320;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
49; 0.022580; 49; -0.008640;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
48; 0.002360; 48; -0.022160;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
50; 0.061360; 51; 0.037430;  9H 8H 10N 11O 7H 0C 1C 2C 3C 12O 4C 5C
51; 0.086040; 50; 0.031250;  9H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
53; 0.124510; 54; 0.125860;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
53; 0.124510; 54; 0.125860;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
54; 0.127040; 53; 0.119600;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
56; 0.201490; 55; 0.170860;  9H 8H 10N 11O 7H 0C 1C 2C 3C 12O 4C 5C
55; 0.182290; 56; 0.205210;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
57; 0.291020; 57; 0.269510;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
58; 0.293130; 58; 0.272510;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
59; 0.308710; 58; 0.272510;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
60; 0.309330; 58; 0.272510;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
63; 0.351210; 58; 0.272510;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
61; 0.323420; 63; 0.358590;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
62; 0.336720; 60; 0.333250;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
65; 0.382950; 63; 0.358590;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
64; 0.361150; 66; 0.384550;  14N 13N
67; 0.404490; 63; 0.358590;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
68; 0.419640; 69; 0.429070;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
70; 0.447770; 70; 0.441260;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
69; 0.442670; 68; 0.421180;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
66; 0.388480; 66; 0.384550;  14N 13N
71; 0.482510; 74; 0.575900;  14N 13N
74; 0.542450; 73; 0.568620;  14N 13N
73; 0.523570; 74; 0.575900;  14N 13N
72; 0.491640; 74; 0.575900;  14N 13N
75; 0.544540; 73; 0.568620;  14N 13N
77; 0.583860; 73; 0.568620;  14N 13N
76; 0.578540; 74; 0.575900;  14N 13N
78; 0.611480; 79; 0.597860;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
81; 0.637470; 79; 0.597860;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
80; 0.633230; 79; 0.597860;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
82; 0.654520; 86; 0.721310;  14N 13N
83; 0.666040; 81; 0.634070;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
79; 0.632130; 87; 0.721420;  14N 13N
85; 0.702340; 86; 0.721310;  14N 13N
84; 0.701570; 84; 0.693090;  14N 13N
87; 0.761610; 90; 0.780990;  14N 13N
86; 0.744710; 86; 0.721310;  14N 13N
89; 0.802020; 91; 0.787110;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
88; 0.788360; 88; 0.743660;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
90; 0.805540; 91; 0.787110;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
92; 0.858790; 93; 0.845040;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
91; 0.840770; 90; 0.780990;  14N 13N
93; 0.910320; 94; 0.849670;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
97; 1.001470; 98; 0.990730;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
95; 0.965170; 95; 0.895520;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
96; 0.970380; 96; 0.923650;  9H 8H 10N 6H 11O 12O 0C 1C 2C 3C 4C 5C
98; 1.033790; 101; 1.047710;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
99; 1.064130; 100; 1.045740;  8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
102; 1.135660; 103; 1.100010;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
94; 0.930380; 92; 0.816150;  9H 8H 10N 6H 11O 12O 0C 1C 2C 3C 4C 5C
100; 1.100510; 97; 0.925270;  9H 8H 10N 11O 7H 0C 1C 2C 3C 12O 4C 5C
101; 1.104460; 103; 1.100010;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
102; 1.135660; 103; 1.100010;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
103; 1.149400; 100; 1.045740;  8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
106; 1.187530; 106; 1.159980;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
108; 1.207570; 110; 1.307770;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
104; 1.162320; 106; 1.159980;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
109; 1.251350; 107; 1.200500;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
